BioSample ID	Sample Type	Environment	Instruments
SAMEA117491907	wastewater metagenome	Sulfonamide resistance gene sul4 is hosted by common wastewater sludge bacteria and found in various newly described contexts and hosts including clinically relevant species	Illumina NovaSeq 6000, PacBio RS II
SAMEA117831167	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6631731	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631741	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631753	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631755	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631805	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631829	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA9943599	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMN05216606	anaerobic digester metagenome	anaerobic digester metagenome Metagenome	Illumina MiSeq, PacBio RS II
SAMN08456386	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456433	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456451	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456456	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456457	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456468	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN13443175	metagenome	Microalgal culture	Illumina MiSeq, MinION
SAMN14341560	bioreactor metagenome	activated sludge	Illumina HiSeq 2500, MinION
SAMN15921179	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921191	soil metagenome	tropical grasslands & savannas	Illumina MiSeq, Sequel II
SAMN15921269	soil metagenome	subtropical shrubland	Illumina MiSeq, Sequel II
SAMN15921306	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921308	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921321	soil metagenome	varia	Illumina MiSeq, Sequel II
SAMN15921356	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921403	soil metagenome	mountain	Illumina MiSeq, Sequel II
SAMN15921413	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921416	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921425	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921437	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921475	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN16575659	wastewater metagenome	wastewater	Illumina HiSeq 2500, MinION
SAMN19601271	human gut metagenome	Human Gut Virome Raw Sequence Reads	Illumina NovaSeq 6000, MinION
SAMN23235378	gut metagenome	feces	Illumina MiSeq, PacBio RS II
SAMN37739126	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN37739127	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN37739128	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN41816779	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816782	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816783	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816796	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816846	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816849	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816851	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816872	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816878	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334564	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334571	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334574	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334576	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMEA116119875	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117491909	wastewater metagenome	Sulfonamide resistance gene sul4 is hosted by common wastewater sludge bacteria and found in various newly described contexts and hosts including clinically relevant species	Illumina NovaSeq 6000, PacBio RS II
SAMEA117831131	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831138	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831143	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831147	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831152	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831154	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6126157	sediment metagenome	Seagrass associated sediment metagenomes	Illumina HiSeq 3000, Sequel
SAMEA6631745	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631758	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631772	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631775	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631784	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA7580828	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA9943605	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMN08456396	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456425	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456448	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN14089852	seawater metagenome	seawater	Illumina HiSeq 2500, PacBio RS II
SAMN15921186	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
SAMN15921197	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
SAMN15921199	soil metagenome	temperate broadleaf & mixed forest	Illumina MiSeq, Sequel II
SAMN15921204	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
SAMN15921209	soil metagenome	montane grassland	Illumina MiSeq, Sequel II
SAMN15921211	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921221	soil metagenome	subtropical dry broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921317	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921325	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921381	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921384	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921401	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921402	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921418	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921487	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921508	soil metagenome	tropical shrubland	Illumina MiSeq, Sequel II
SAMN15921598	soil metagenome	tropical coniferous forest	Illumina MiSeq, Sequel II
SAMN17245385	metagenome	flooded rice paddy soil	Illumina MiSeq, PacBio RS II
SAMN41816788	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816810	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816812	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816819	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816820	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816821	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816859	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816867	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816874	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334582	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334590	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN50298528	plant metagenome	Plant sample	Illumina NovaSeq X, PacBio RS
SAMEA116119906	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117831122	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831163	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831165	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6631723	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631735	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631776	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631781	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631798	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631809	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631811	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631813	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631832	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA7580841	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA7580843	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA9943594	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMEA9943613	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMEA9943619	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMN08456371	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456399	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN13925155	wood decay metagenome	temperate mixed forest biome [ENVO:01000212]	Illumina HiSeq 2500, Illumina MiSeq, Sequel II
SAMN14329652	endosymbiont of Lamellibrachia barhami	Diffuse zone	Illumina HiSeq 2500, MinION
SAMN14593423	human oral metagenome	human-oral	Illumina MiSeq, MinION, NextSeq 500
SAMN15921174	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921208	soil metagenome	subtropical shrubland	Illumina MiSeq, Sequel II
SAMN15921220	soil metagenome	temperate broadleaf & mixed forest	Illumina MiSeq, Sequel II
SAMN15921222	soil metagenome	tropical grasslands & savannas	Illumina MiSeq, Sequel II
SAMN15921229	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921263	soil metagenome	montane shrubland	Illumina MiSeq, Sequel II
SAMN15921289	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921310	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921327	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921366	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921428	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921445	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921466	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921467	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921477	soil metagenome	tropical shrubland	Illumina MiSeq, Sequel II
SAMN15921507	soil metagenome	desert	Illumina MiSeq, Sequel II
SAMN25696378	synthetic metagenome	Human gut mock community	GridION, Illumina NovaSeq 6000, Sequel II
SAMN36379043	marine sediment metagenome	ENVO:00000464	Illumina MiSeq, MinION
SAMN37739122	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN41816822	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816835	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816844	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816882	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816885	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816894	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334561	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334580	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMEA116119870	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA116119904	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117831121	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA117831141	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6631721	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631802	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631823	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631831	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA7580823	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA7580824	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA9943596	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMEA9943618	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMN08456380	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456394	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN14089872	marine sediment metagenome	sediment	Illumina HiSeq 2500, PacBio RS II
SAMN14089878	marine sediment metagenome	sediment	Illumina HiSeq 2500, PacBio RS II
SAMN14089886	crustacean metagenome	gill	Ion Torrent S5 XL, PacBio RS II
SAMN15921182	soil metagenome	tropical grasslands & savannas	Illumina MiSeq, Sequel II
SAMN15921189	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
SAMN15921218	soil metagenome	woodland/shrubland	Illumina MiSeq, Sequel II
SAMN15921235	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921253	soil metagenome	grassland	Illumina MiSeq, Sequel II
SAMN15921258	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921272	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921274	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921296	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921300	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921303	soil metagenome	temperate grassland	Illumina MiSeq, Sequel II
SAMN15921309	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921346	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921397	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN15921398	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921406	soil metagenome	boreal forest	Illumina MiSeq, Sequel II
SAMN15921424	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921450	soil metagenome	temperate forest	Illumina MiSeq, Sequel II
SAMN15921472	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921485	soil metagenome	tropical moist broadleaf forest	Illumina MiSeq, Sequel II
SAMN15921491	soil metagenome	tundra	Illumina MiSeq, Sequel II
SAMN15921514	soil metagenome	tropical forest	Illumina MiSeq, Sequel II
SAMN17245386	metagenome	flooded rice paddy soil	Illumina MiSeq, PacBio RS II
SAMN17245396	metagenome	flooded rice paddy soil	Illumina MiSeq, PacBio RS II
SAMN22304446	clinical metagenome	wound	Illumina MiSeq, MinION
SAMN33571975	human feces metagenome	Quantifying bias introduced by sample collection in relative and absolute microbiome measurements	Illumina NovaSeq 6000, PromethION
SAMN37739121	soil metagenome	arable field	Illumina MiSeq, Sequel II
SAMN41816799	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN41816861	pig gut metagenome	stool	Illumina MiSeq, MinION
SAMN42334560	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334585	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN42334586	human saliva metagenome	saliva	Illumina HiSeq 2500, Illumina MiSeq, Sequel
SAMN49717218	Staphylococcus aureus	skin	Illumina MiniSeq, MinION
SAMEA116119897	human skin metagenome	Characterisation of the forehead and armpit skin microbiome of healthy individuals using shotgun metagenomics and 16S rRNA gene sequencing	Illumina MiSeq, Sequel II
SAMEA117831128	canine gut metagenome	Shanghai pet dog gut microbiome	Illumina NovaSeq 6000, PromethION
SAMEA6126162	sediment metagenome	Seagrass associated sediment metagenomes	Illumina HiSeq 3000, Sequel
SAMEA6126163	sediment metagenome	Seagrass associated sediment metagenomes	Illumina HiSeq 3000, Sequel
SAMEA6631724	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631729	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631743	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631750	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631779	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, Ion Torrent S5, PacBio RS II
SAMEA6631800	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA6631830	soil metagenome	Long- and short-read metabarcoding technologies reveal similar spatio-temporal structures in fungal communities	Illumina MiSeq, PacBio RS II
SAMEA7580832	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA7580842	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA7580845	mixed sample	A Peak into the Plasmidome of Global Sewage	MinION, NextSeq 500
SAMEA9943591	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMEA9943604	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMEA9943621	metagenome	Exploring semi-quantitative metagenomics studies using Oxford Nanopore sequencing : a computational and experimental protocol	Illumina MiSeq, MinION
SAMN08456395	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456419	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456423	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456429	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN08456458	root metagenome	18S SSU rRNA gene fragments and ITS2 fungal genes from Plantago lanceolata roots	Illumina MiSeq, PacBio RS II
SAMN14089887	crustacean metagenome	gill	Ion Torrent S5 XL, PacBio RS II
SAMN15921212	soil metagenome	temperate seminatural grassland	Illumina MiSeq, Sequel II
SAMN15921216	soil metagenome	temperate natural grassland	Illumina MiSeq, Sequel II
